Date,Key West,Barrow
3/24/2009,72.7,-11.8
3/25/2009,72.7,-8.6
3/26/2009,74.2,-7.2
3/27/2009,75.3,-12.4
3/28/2009,77.1,-21.3
3/29/2009,78,-22.2
3/30/2009,74,-15
3/31/2009,77.7,-14.5
4/1/2009,79,-11.4
4/2/2009,79.4,-13.2
4/3/2009,80.8,-10.6
4/4/2009,79.8,-12
4/5/2009,79.5,-19.1
4/6/2009,80.4,-8.9
4/7/2009,72.6,-15.9
4/8/2009,67,-4.6
4/9/2009,65.2,-1.8
4/10/2009,77.6,-3.5
4/11/2009,78.6,-8.4
4/12/2009,77.2,-7.5
4/13/2009,78.5,-0.3
4/14/2009,79.7,2.2
4/15/2009,78.7,0.9
4/16/2009,78.8,-1.8
4/17/2009,78,0.2
4/18/2009,75.4,1
4/19/2009,75.6,0.3
4/20/2009,77.6,-3
4/21/2009,76.7,9.6
4/22/2009,74.8,3.3
4/23/2009,74.5,4.6
4/24/2009,77.5,14.7
4/25/2009,76.6,11.4
4/26/2009,77.1,26.5
4/27/2009,77.3,33.3
4/28/2009,77.2,28.5
4/29/2009,77.1,30
4/30/2009,77.2,34.8
5/1/2009,77.5,34.2
5/2/2009,78.7,26.8
5/3/2009,78.3,18.6
5/4/2009,78.6,18.6
5/5/2009,78.8,17.9
5/6/2009,78.8,18
5/7/2009,79.5,20.2
5/8/2009,79.8,20.8
5/9/2009,81.1,13.4
5/10/2009,81.1,15.6
5/11/2009,81.2,30
5/12/2009,80.6,28.6
5/13/2009,81.4,14.7
5/14/2009,81.2,14.1
5/15/2009,81.4,18.6
5/16/2009,79.9,20.6
5/17/2009,79.9,21.2
5/18/2009,79.8,35.8
5/19/2009,75.6,34.4
5/20/2009,77.7,34.1
5/21/2009,79.3,33.1
5/22/2009,82.6,30.5
5/23/2009,81.9,28
5/24/2009,82.4,29.9
5/25/2009,82.5,34.3
5/26/2009,83.9,30.9
5/27/2009,83.1,31.6
5/28/2009,83.1,30
5/29/2009,83,30.3
5/30/2009,82,28.9
5/31/2009,82.4,27.1
6/1/2009,82.2,30.9
6/2/2009,81.7,39.4
6/3/2009,82.8,35.5
6/4/2009,83.1,34.9
6/5/2009,83.9,33.7
6/6/2009,82.6,34.3
6/7/2009,82.2,41.5
6/8/2009,82.3,39.5
6/9/2009,83,38.7
6/10/2009,83.1,38.4
6/11/2009,83.4,34.5
6/12/2009,84.6,34.5
6/13/2009,83.8,33.8
6/14/2009,84.7,33.4
6/15/2009,84,34.8
6/16/2009,84.5,37.5
6/17/2009,84.2,34.5
6/18/2009,82.8,34.5
6/19/2009,84.1,34
6/20/2009,84.5,30.9
6/21/2009,85.9,31.6
6/22/2009,85.9,31.9
6/23/2009,86.4,33.1
6/24/2009,83.1,32.8
6/25/2009,80.3,33.6
6/26/2009,82.3,35.8
6/27/2009,82.5,33.8
6/28/2009,83,30.7
6/29/2009,84.7,32
6/30/2009,86,37.4
7/1/2009,84.9,40.5
7/2/2009,85.5,42.8
7/3/2009,86,40.8
7/4/2009,83.7,37.8
7/5/2009,84,42.9
7/6/2009,85.6,42.6
7/7/2009,85.9,38.2
7/8/2009,86.3,37
7/9/2009,86.9,39
7/10/2009,86.7,43.8
7/11/2009,85.6,43.2
7/12/2009,65.7,45.3
7/13/2009,84.6,51.4
7/14/2009,84.5,60.8
7/15/2009,86.6,44.7
7/16/2009,87.4,44.2
7/17/2009,87.4,43
7/18/2009,87.7,40.6
7/19/2009,88.2,37.7
7/20/2009,87,41.1
7/21/2009,84.8,38.8
7/22/2009,86.2,37.2
7/23/2009,87.2,37
7/24/2009,87.7,36.7
7/25/2009,87.7,39
7/26/2009,85.5,41.5
7/27/2009,86.5,42.5
7/28/2009,85,46.4
7/29/2009,88.2,54.7
7/30/2009,88.6,49.3
7/31/2009,88.4,52.5
8/1/2009,87.2,48.2
8/2/2009,86.9,50.1
8/3/2009,88,53.8
8/4/2009,88.1,50.6
8/5/2009,86.2,46.7
8/6/2009,84.4,39.5
8/7/2009,86.8,42.6
8/8/2009,87.2,43.6
8/9/2009,87.5,36.6
8/10/2009,87.7,36.7
8/11/2009,86.4,36.7
8/12/2009,85.7,38.6
8/13/2009,86.8,37.7
8/14/2009,87.6,36.3
8/15/2009,83.2,38.7
8/16/2009,85.7,37.6
8/17/2009,85.9,38.8
8/18/2009,85.9,39.2
8/19/2009,85.5,39.3
8/20/2009,86.8,41
8/21/2009,86.1,49.3
8/22/2009,85.3,52
8/23/2009,86.3,44.8
8/24/2009,86.4,39.7
8/25/2009,87.1,38
8/26/2009,86.7,38.2
8/27/2009,87.1,39.5
8/28/2009,86.5,42.2
8/29/2009,87.7,36.8
8/30/2009,86,36.7
8/31/2009,85.8,36.2
9/1/2009,85.1,45.8
9/2/2009,84.9,44.4
9/3/2009,85.5,42.3
9/4/2009,86.3,40.9
9/5/2009,82.1,48.1
9/6/2009,85.5,38.2
9/7/2009,84.4,35.8
9/8/2009,84,35.3
9/9/2009,84,35.6
9/10/2009,83.7,36.5
9/11/2009,83.9,35.9
9/12/2009,85.3,35.8
9/13/2009,85,36.4
9/14/2009,86.1,35.7
9/15/2009,85.9,36.5
9/16/2009,83.9,37.8
9/17/2009,86,36.5
9/18/2009,85.9,36.7
9/19/2009,86.1,35.1
9/20/2009,86.8,31.6
9/21/2009,84.9,28.9
9/22/2009,85.1,28.2
9/23/2009,85.4,27.4
9/24/2009,85.2,29.4
9/25/2009,85.5,31
9/26/2009,85.6,30.5
9/27/2009,84.6,33
9/28/2009,85.7,30.3
9/29/2009,84.5,26.7
9/30/2009,82.5,26.9
10/1/2009,80.2,26.2
10/2/2009,82.4,24.3
10/3/2009,83,26.4
10/4/2009,84.2,28
10/5/2009,86.2,27.6
10/6/2009,86.2,27.9
10/7/2009,86.2,26.1
10/8/2009,86.2,28.9
10/9/2009,86.3,30.6
10/10/2009,85.9,32.1
10/11/2009,85.5,32
10/12/2009,85.4,29.6
10/13/2009,84.8,35.3
10/14/2009,85.3,28.5
10/15/2009,84.6,32.9
10/16/2009,85.6,29.8
10/17/2009,84.2,29.2
10/18/2009,73.5,23.7
10/19/2009,71.2,24.1
10/20/2009,76.4,21
10/21/2009,78.1,19.2
10/22/2009,79.3,21.6
10/23/2009,81.2,25.8
10/24/2009,80.8,28.1
10/25/2009,79.3,25.6
10/26/2009,78.9,28.1
10/27/2009,81.9,27
10/28/2009,83.6,28.2
10/29/2009,83.6,19.8
10/30/2009,82.8,6.7
10/31/2009,82.7,6.1
11/1/2009,80.1,16.4
11/2/2009,80.6,10.1
11/3/2009,79.4,7.6
11/4/2009,78.9,11.3
11/5/2009,79.9,10.7
11/6/2009,77.7,7.3
11/7/2009,77.2,-0.3
11/8/2009,79.2,-2.9
11/9/2009,80.5,2.7
11/10/2009,80.7,4.9
11/11/2009,79.4,1
11/12/2009,75.1,2.2
11/13/2009,71.5,0.1
11/14/2009,72.8,-1.2
11/15/2009,71.6,0.7
11/16/2009,73,-0.2
11/17/2009,74.8,4.5
11/18/2009,75.9,1.5
11/19/2009,75.2,-1.9
11/20/2009,75.8,0
11/21/2009,76.6,-8.5
11/22/2009,78.2,-6.5
11/23/2009,79.4,-17.9
11/24/2009,77.9,-5.2
11/25/2009,76.3,0.5
11/26/2009,74.1,1.3
11/27/2009,68.9,3.3
11/28/2009,65,7.1
11/29/2009,67.3,5.2
11/30/2009,73,-2.9
12/1/2009,74.8,-0.6
12/2/2009,79.2,2.3
12/3/2009,80.1,-0.4
12/4/2009,76.8,-9.5
12/5/2009,78.4,-10.6
12/6/2009,66.8,16
12/7/2009,68.6,21.7
12/8/2009,73.7,15.6
12/9/2009,79.4,11.5
12/10/2009,79.8,16.5
12/11/2009,77.4,6.3
12/12/2009,78.4,0.1
12/13/2009,79.7,-12
12/14/2009,77.8,-14.9
12/15/2009,79.1,-21.3
12/16/2009,78.5,-25
12/17/2009,77.4,-13.7
12/18/2009,77.2,-11.9
12/19/2009,72.3,-3.2
12/20/2009,67.6,-11.8
12/21/2009,61.8,2.1
12/22/2009,64.3,4.4
12/23/2009,68.8,3.3
12/24/2009,72.3,2.6
12/25/2009,75.5,-6.2
12/26/2009,69.7,-13.2
12/27/2009,67.5,-4.6
12/28/2009,69.1,-4.4
12/29/2009,62.6,-5.1
12/30/2009,65.4,-1.7
12/31/2009,73.3,-10.2
